Model,Property,power,Official Price,Market Price
Hyundai Tucson 2023,A/T / COLLECTOR,1600 CC Turbo,error Car not available,
Lotus Emeya 2024,Automtic,0 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / Shadow,1600 CC Turbo,error Car not available,
Hyundai Tucson 2024,A/T / Shadow,1600 CC Turbo,error Car not available,"1,750,000 EGP To 2,050,000 EGP"
Lotus Eletre 2024,Automtic,0 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / Blaze,1600 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / Redine,1600 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / NIGHT,1600 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / MID-NIGHT,1600 CC Turbo,error Car not available,
Hyundai Tucson 2023,A/T / BLACK DIAMOND,1600 CC Turbo,error Car not available,
Haval H6 2023,A/T / Top Line,1500 CC Turbo,error Car not available,
Hyundai Tucson 2024,A/T / COLLECTOR,1600 CC Turbo,error Car not available,"1,950,001 EGP To 3,200,001 EGP"
Haval H6 2023,A/T / Standard,1500 CC Turbo,error Car not available,
Hyundai Elantra CN7 2024,A/T / Shadow,1600 CC,error Car not available,
Haval Jolion 2023,A/T / Deluxe,1500 CC Turbo,error Car not available,
Hyundai Tucson 2024,A/T / Blaze,1600 CC Turbo,error Car not available,"1,850,001 EGP To 2,400,001 EGP"
Hyundai Elantra CN7 2024,A/T / Blaze,1600 CC,error Car not available,
Haval Jolion 2023,A/T / Deluxe SR,1500 CC Turbo,error Car not available,"1,360,000 EGP To 1,550,000 EGP"
Hyundai Tucson 2024,A/T / Redine,1600 CC Turbo,error Car not available,"2,350,001 EGP"
Hyundai Elantra CN7 2024,A/T / Redline,1600 CC,error Car not available,
Haval H6 2023,A/T / Standard,1500 CC Turbo,error Car not available,
Haval Jolion 2023,A/T / High Deluxe,1500 CC Turbo,error Car not available,"1,450,000 EGP"
Hyundai Tucson 2024,A/T / NIGHT,1600 CC Turbo,error Car not available,"2,250,001 EGP To 2,800,001 EGP"
Hyundai Elantra CN7 2024,A/T / BLACK DIAMOND,1600 CC,error Car not available,
Haval H6 2023,A/T / Deluxe SR,1500 CC Turbo,error Car not available,
Hyundai Tucson 2024,A/T / MID-NIGHT,1600 CC Turbo,error Car not available,"2,150,001 EGP To 2,400,001 EGP"
BMW 520 2024,Automtic,1600 CC Turbo,error Car not available,
Haval H6 2023,A/T / Deluxe,1500 CC Turbo,error Car not available,
Hyundai Tucson 2024,A/T / BLACK DIAMOND,1600 CC Turbo,error Car not available,"2,950,001 EGP To 3,250,001 EGP"
BMW 530 2024,Automtic,2000 CC Turbo,error Car not available,
